id,created_at,screen_name,clean_text,original_text,favorite_count,retweet_count,follower_count,polarity,subjectivity,hashtags,location
1126729046753079296,Fri May 10 06:01:53 +0000 2019,HarlowGooner,stop and think for one minute arsenal chelsea miles apart mins travel both have to travel miles return journey how many planes carbon emissions do not talk to me about assisting global warming and thinking of supporters simply uefa stupidity and greed,"Stop and think for one minute. Arsenal v Chelsea 8.4 miles apart 40 mins travel.

Both have to travel 4800 miles return journey. How many planes, carbon emissions. 

Don’t talk to me about assisting global warming and thinking of supporters. 

Simply UEFA stupidity and greed. https://t.co/jHk4Fk92VZ",69,35,6061,-0.024999999999999994,0.4642857142857143,,Harlow Essex
1126726516811784192,Fri May 10 05:51:49 +0000 2019,SasjaBeslik,your savings your account your credit card finance etc contribute to global warming far more than anything else worse yet people still do not realise this sustainablefinance,"Your savings, your account, your credit card finance etc contribute to global warming far more than anything else. Worse yet, PEOPLE STILL DON’T REALISE THIS. #sustainablefinance https://t.co/esZdWJV5fZ",13,9,209107,0.04999999999999999,0.525,sustainablefinance,"Stockholm, Sweden"
1126725861732827137,Fri May 10 05:49:13 +0000 2019,Carbongate,svensmark global warming stopped and a cooling is beginning enjoy global warming while it lasts via,Svensmark: “global warming stopped and a cooling is beginning” – “enjoy global warming while it lasts” https://t.co/fnOZmBvqHt via @john0sullivanp2,9,8,18835,0.13333333333333333,0.16666666666666666,,scotland
1126724435338088449,Fri May 10 05:43:33 +0000 2019,SteveSGoddard,lots more global warming piling up in new mexico tonight,Lots more global warming piling up in New Mexico tonight https://t.co/mFuGRA6W8W,39,17,32919,0.21212121212121213,0.3181818181818182,,Colorado
1126724073722040325,Fri May 10 05:42:07 +0000 2019,jayjuniorrr,does anyone think global warming is a good thing i love lady gaga i think she has a really interesting artist,Does anyone think global warming is a good thing? I love Lady Gaga.  I think she's a really interesting artist. https://t.co/oPOx4ODObZ,66,3,4701,0.425,0.42500000000000004,,"Chicago, IL"
1126721038283264005,Fri May 10 05:30:03 +0000 2019,diva_ex_machina,so we are actually paying for our own environmental destruction all of the extractive industries in australia are heavily subsidized and contribute to global warming this is the height of stupidity,"So we're actually paying for our own environmental destruction. All of the extractive industries in Australia are heavily subsidized, and contribute to global warming. This is the height of stupidity.",13,1,2876,-0.04,0.52,,Tasmania
1126719751265251329,Fri May 10 05:24:56 +0000 2019,Carbongate,climate emergency global warming falls off a cliff bb cbreakfast,Climate Emergency! Global Warming falls off a cliff. #BBCbreakfast https://t.co/U917AJPXRD,7,5,18835,0.0,0.0,BBCbreakfast,scotland
1126717703748632576,Fri May 10 05:16:48 +0000 2019,Carbongate,there is no need to worry about global warming when the sun dims burn,"There is no need to worry about global warming when the Sun dims.
Burn https://t.co/nXQKnw60ob https://t.co/uXMP3KlDtE",10,7,18835,0.0,0.0,,scotland
1126717086565163009,Fri May 10 05:14:21 +0000 2019,sophiawhat_,today on nature knows how to correct itself global warming makes ur tears evaporate faster,"Today on nature knows how to correct itself:

global warming makes ur tears evaporate faster",13,0,746,0.0,0.0,,
1126715618093256704,Fri May 10 05:08:31 +0000 2019,SamGrittner,if you actually gave a shit about unborn babies you would be screaming until your lungs collapsed about stopping global warming instead of trying to convince me that a picture of congealed lava lamp is a person,If you actually gave a shit about unborn babies you would be screaming until your lungs collapsed about stopping global warming instead of trying to convince me that a picture of congealed lava lamp is a person.,133,20,65694,-0.06666666666666667,0.3,,"Brooklyn, NY"
1126715310134816769,Fri May 10 05:07:17 +0000 2019,alissacaliente,interesting that the creators of chernobyl clearly intend for this story to serve as a parallel to our ruling class/govt response to global warming but might negatively impact public support for nuclear power as an alternative to fossil fuels whoops,interesting that the creators of Chernobyl clearly intend for this story to serve as a parallel to our ruling class/govt's response to global warming but might negatively impact public support for nuclear power as an alternative to fossil fuels whoops,21,0,6023,0.049999999999999996,0.22499999999999998,,Massachusetts
1126714002019536896,Fri May 10 05:02:06 +0000 2019,Barnacules,plus look at he has basically the devil by definition of new international christian bible and every god needs a devil to balance them out he wants us to believe global warming and pollution are a myth which kills our cells that fall for his snake oil,"Plus, look at @realDonaldTrump. He’s basically the devil by definition of new international Christian Bible. And every God needs a Devil to balance them out. He wants us to believe global warming and pollution are a myth which kills our cells that fall for his snake oil 😉😎😇",11,0,129724,0.06727272727272728,0.11090909090909092,,"Seattle, WA"
1126711667113349125,Fri May 10 04:52:49 +0000 2019,Carbongate,top russian scientist fear a deep temperature drop not global warming bb cnews bb cbreakfast,"Top Russian Scientist: ‘Fear A Deep Temperature Drop — Not Global Warming’ #BBCnews #BBCbreakfast
https://t.co/yLA347jLwN https://t.co/lTOnsYXfsE",7,9,18835,0.125,0.225,"BBCnews, BBCbreakfast",scotland
1126711171686387714,Fri May 10 04:50:51 +0000 2019,TreforJones2,we want out of paris everyday there is more proof of the doctored global warming figures nasa figures show that the global cooling cycle has clicked in if australia invests heavily into renewables via labor jobs will be sacrificed for no financial gain,"We want out of Paris, everyday there is more proof of the doctored Global warming figures, Nasa figures show that the Global cooling cycle has clicked in, If Australia invests heavily into renewables via labor, Jobs will be sacrificed for no financial gain. https://t.co/s0TCQXFkuX",5,5,564,0.016666666666666663,0.26666666666666666,,South Australia
1126711084964909057,Fri May 10 04:50:30 +0000 2019,edamami18,its frustrating how people are so worried about global warming yet they still consume dairy meat animal products in general open your fucking eyes and realize how these industries are one of the leading causes of global warminginform yourself act now because time is running out,"its frustrating how people are so worried about global warming yet they still consume dairy,meat,animal products in general. OPEN YOUR FUCKING EYES &amp; REALIZE HOW THESE INDUSTRIES ARE ONE OF THE LEADING CAUSES OF GLOBAL WARMING.INFORM YOURSELF. ACT NOW BECAUSE TIME IS RUNNING OUT.",5,0,83,-0.15833333333333333,0.45,,
1126710591807057921,Fri May 10 04:48:33 +0000 2019,realamymholmes,just had a very weird an uncomfortable eerience tonight in nyc was out with two very good friends to listen to a panel on global warming after we went to the club next door and got into a discussion about the 2a i was defending it and then a gentleman approached us,"Just had a very weird an uncomfortable experience tonight in NYC. Was out with two very good friends to listen to a panel on global warming.  After, we went to the 21 Club next door and got into a discussion about the 2A.  I was defending it. And then a gentleman approached us...",6,1,25513,-0.048,0.556,,"New York, NY"
1126708941398740992,Fri May 10 04:41:59 +0000 2019,spvaid,i was doing morning walk under trees realised how cool breeze was blowing in spite of overall warm weather i think it should be made mandatory for everyone on this earth to not only plant but maintain at least trees in his area to counter global warming,"I was doing morning walk under trees , realised how cool breeze was blowing in spite of overall warm weather. I think it should be made mandatory for everyone on this earth to not only plant 🌱 but maintain at least 5 trees 🌳 in his area to counter global warming.",619,109,55350,0.10833333333333332,0.44166666666666665,,Jammu & Kashmir
1126708467702456320,Fri May 10 04:40:06 +0000 2019,ziggystarsioux,thinking about how capitalism and global warming are going to be the cause of our destruction yet no one seems to care about it,"thinking about how capitalism and global warming are going to be the cause of our destruction yet no one seems to care about it,,,",7,5,594,0.0,0.0,,in-my-room_yazoo.mp3
1126708296692330497,Fri May 10 04:39:25 +0000 2019,steffenrusten,what could i talk about for mins with no prep unbundling of the car startups why ai will eat your career even if it does not eat your job inequality the illusion of free will being robbed in cambodia or napier football influencers global warming ubi,"What could I talk about for 30 mins with no prep?
-Unbundling of the car
-Startups
-Why AI will eat your career even if it doesn’t eat your job 
-Inequality
-The illusion of free will
-Being robbed in Cambodia, or Napier
-Football
-Influencers
-Global warming
-UBI https://t.co/ENZLhihubH",5,0,1601,0.2,0.4,,"Titirangi, Tāmaki Makaurau, Aotearoa"
1126705415717249026,Fri May 10 04:27:58 +0000 2019,labor_trash,climate scammers are pressuring farmers to cull cattle because they fart a lot which adds to global warming it will not be too long before they eect humans to be culled when they reach a certain age as depicted in the movie soilent green,@RodS108443078 @CarlDPayne @MichaelMaus6 @ralph_moth @macsween_prue @billshortenmp @QandA @LaborFAIL @LaborLies1 @kelliekelly23 @WSDeplorable @GrantBrowne1 @JohnRuddick2 @CraigKellyMP @rowandean Climate scammers are pressuring Farmers to cull Cattle because they Fart a lot which adds to global warming. It won’t be too long before they expect humans to be culled when they reach a certain age as depicted in the movie Soilent Green.,10,4,3706,-0.008928571428571438,0.31785714285714284,,Australia
1126704872101826561,Fri May 10 04:25:49 +0000 2019,KoreyKruse,in the mind of all educated scientists even your beloved oil companies exn bp chevron and all the rest all now readily admit their products cause global warming they all have web pages discussing their investments to limit the damage of carbon in the atomosphere,"@pbillecci1 @SenFeinstein In the mind of all educated scientists.  

Even your beloved oil companies, Exxon, BP, Chevron, and all the rest all now readily admit their products cause global warming.  They all have web pages discussing their investments to limit the damage of carbon in the atomosphere.",6,1,354,0.3,0.5,,"Wichita, KS"
1126700314969591808,Fri May 10 04:07:42 +0000 2019,varadmehta,scientists record predicting the next global warming apocalypse is as good as economists record predicting the next recession this article a few years old but it does a good job recounting some failed predictions of climate change catastrophe,"Scientists' record predicting the next global warming apocalypse is as good as economists' record predicting the next recession. This article's a few years old, but it does a good job recounting some failed predictions of climate change catastrophe. https://t.co/q2q8rBH76A",5,0,9181,0.09999999999999998,0.22500000000000003,,"Somewhere between Philly and Princeton. They keep changing the exit numbers, so I’m not quite sure where."
1126692798806118400,Fri May 10 03:37:50 +0000 2019,WashTimes,al gore climate group warns pets endangered by global warming,"Al Gore climate group warns pets endangered by global warming

https://t.co/G4VQJ8B2A4 https://t.co/ZorxK7DPdm",9,4,354463,0.0,0.0,,"Washington, D.C."
1126690847616000000,Fri May 10 03:30:05 +0000 2019,SafetyPinDaily,un secretarygeneral warns of 'total disaster if global warming is not stopped via time,U.N. Secretary-General warns of 'total disaster' if global warming isn't stopped || Via Time https://t.co/VjaezEoE5R,17,10,116202,0.0,0.375,,
1126685757031297024,Fri May 10 03:09:51 +0000 2019,JesseNeon,as a follow up in case you wanted to know how i feel about certain things that might make you want to unfollow me here my thoughts on stuff trans people are just people they get the same rights sexism is dumb racism is actually for stupid people global warming is real,"As a follow up, in case you wanted to know how I feel about certain things that might make you want to unfollow me, here's my thoughts on stuff!

-TRANS PEOPLE ARE JUST PEOPLE, THEY GET THE SAME RIGHTS
-SEXISM IS DUMB
-RACISM IS ACTUALLY FOR STUPID PEOPLE
-GLOBAL WARMING IS REAL",49,1,1995,-0.1086734693877551,0.3709183673469388,,"Middle of Nowhere, Canada"
1126685018074562560,Fri May 10 03:06:55 +0000 2019,kenajahhh_,the rain in houston is really a hurricane but they will not classify it as a hurricane cause it is technically not hurricane season but it is a early hurricane cause of global warming and that is tea,the rain in Houston is really a hurricane but they won’t classify it as a hurricane cause it’s “technically” not hurricane season but it’s a early hurricane cause of global warming. &amp; that’s tea,23,4,650,0.07500000000000001,0.15000000000000002,,in the gym w/ westbrook
1126680621777018881,Fri May 10 02:49:27 +0000 2019,Gioo_Espinosaa,honestly fuck people who do not believe in global warming,Honestly fuck people who don’t believe in global warming,5,2,466,-0.2,0.3,,OR.
1126679993059282944,Fri May 10 02:46:57 +0000 2019,MeGustaJoshua,so i just found out about global warming whats all that about,So I just found out about “global warming” whats all that about,18,0,2830,0.0,0.0,,Canada
1126679759868403718,Fri May 10 02:46:02 +0000 2019,lexi_townley33,i had a landlord tell me he would not fix my broken ac during an arizona summer because of global warming,I had a landlord tell me he wouldn’t fix my broken AC (during an Arizona Summer) because of Global Warming 🙃 https://t.co/9z6JNUH3A8,5,1,202,-0.2,0.2,,"Tempe, AZ"
1126678185503068160,Fri May 10 02:39:46 +0000 2019,BreitbartNews,he has just ahead of the curve on fighting global warming,He's just ahead of the curve on fighting global warming...  https://t.co/dwhTRAGxAf,48,25,1095026,0.0,0.0,,
1126676967489585152,Fri May 10 02:34:56 +0000 2019,peixotors,we are talking about biodiversity life forests the amazon has an incredibly important role in global warming,"“We’re talking about biodiversity, life, forests … the Amazon has an incredibly important role in global warming.” @phylogenomics @DiseaseMatters @Francini_Filho https://t.co/vPz2bxb4pE",6,3,579,0.2,0.5,,Rio de Janeiro Brasil
1126673992931106816,Fri May 10 02:23:07 +0000 2019,Onision,wow it is scary how many of you love i mean it makes sense global warming is real it is going to be hell here soon anyway may as well get with the winning team,"Wow, it's scary how many of you love @s8n.

I mean... it makes sense. Global warming is real, it's going to be hell here soon anyway. May as well get with the winning team.",22,4,295507,0.1234375,0.6046875,,"Seattle, WA"
1126673650411823109,Fri May 10 02:21:45 +0000 2019,theresakost13,what could i talk about for minutes no prep lady gaga stefani joanne germanotta killing eve villanelle fashion space greys mental health running body positivity therapy starbucks death dreams supernatural conspiracies global warming me myself and i,"What could I talk about for 30 minutes, no prep?
-lady
-gaga
-stefani
-joanne
-germanotta 
-killing eve
-villanelle
-fashion 
-space
-greys
-mental health
-running
-body positivity 
-therapy
-starbucks 
-death
-dreams
-supernatural 
-conspiracies 
-global warming
-me myself &amp; i https://t.co/6p64Ya0SYy",13,0,4030,0.022222222222222216,0.25555555555555554,,ksu fashion ‘22
1126672317868847104,Fri May 10 02:16:27 +0000 2019,unkatherine,moonpies solved global warming,moonpies solved global warming https://t.co/fARVE77NU3,16,1,1104,0.0,0.0,,atx
1126668158729736192,Fri May 10 01:59:56 +0000 2019,eigenrobot,global warming,88. global warming,6,0,3702,0.0,0.0,,
1126667731057692672,Fri May 10 01:58:14 +0000 2019,manny_ottawa,this boy in afghanistan just got a new prosthetic leg and now he can not stop dancing in celebration if only our children knew how blessed they are to live in the greatest country but we scare them to death with cult of global warming yr apocalypse,"This boy in Afghanistan just got a new prosthetic leg and now he can't stop dancing in celebration.

If only our children knew how blessed they are to live in the greatest country — but we scare them to death with cult of Global Warming 12 yr apocalypse.

https://t.co/FDla8grqD6",734,181,29915,0.2545454545454545,0.5909090909090909,,Ottawa Canada
1126663507225841664,Fri May 10 01:41:27 +0000 2019,techreview,by india could overtake the us as the world second largest emitter undermining efforts to curb global warming unless richer nations step up,"By 2040 India could overtake the US as the world’s second largest emitter, undermining efforts to curb global warming—unless richer nations step up. https://t.co/V1efgCJ9p8",32,17,956231,0.0,0.0,,"Cambridge, MA"
1126660881641644033,Fri May 10 01:31:01 +0000 2019,SteveSGoddard,i am old enough to remember when was blaming warm may weather on global warming enough nostalgia time to bundle up in my winter gear and take the dogs for a walk,"I'm old enough to remember when @NOAA was blaming warm May weather on global warming.
Enough nostalgia. Time to bundle up in my winter gear and take the dogs for a walk .. https://t.co/kdIdY1xI8b",26,6,32919,0.13999999999999999,0.36,,Colorado
1126659424787894272,Fri May 10 01:25:13 +0000 2019,dorotero,damned global warming,damned global warming,58,2,4357,0.0,0.0,,
1126658556235792385,Fri May 10 01:21:46 +0000 2019,Mogaza,climate change a moral ethical and economic imperative to slow global warming say un leaders calling for more action climate action more info,"#ClimateChange: ‘A moral, ethical and economic imperative’ to slow global warming say #UN leaders, calling for more action 
#ClimateAction
More info: https://t.co/XfGms5tZv5 https://t.co/Rt3LBpuSdi",36,11,48352,0.14444444444444443,0.29444444444444445,"ClimateChange, UN, ClimateAction","Boston, Amman, Amsterdam"
1126658476606984197,Fri May 10 01:21:27 +0000 2019,bIinkzens,thoughts on global warming,@NCTsmtown_127 Thoughts on global warming,16,0,2042,0.0,0.0,,"London, England"
1126657850913091584,Fri May 10 01:18:58 +0000 2019,davobob,i agree with all those humans only just discovering fire and going on to create prehistoric neanderthal global warming i am pissed that they wiped out all those dinasours i particularly loved the the glutemis maximus dinosaurs,"@Edwinsson I agree. With all those Humans only just discovering fire, and going on to create prehistoric, Neanderthal global warming, I’m pissed that they wiped out all those Dinasours.
I particularly loved the the Glutemis Maximus Dinosaurs.",5,0,131,0.2333333333333333,0.6,,
1126656920461430790,Fri May 10 01:15:16 +0000 2019,Caswellr19,wendy i just went to my gun safe and checked to see how many people my guns killed and come to find out it is still zero for guns being so bad and deadly mine must be odd so while you are trying to come up with a way to blame guns for global warming my family is safe in my home,@WendyMolyneux @DLoesch @NRA Wendy I just went to my gun safe and checked to see how many people my guns killed and come to find out it’s still Zero. For guns being so bad and deadly mine must be odd. So while you are trying to come up with a way to blame guns for global warming My family is safe in my home,23,3,68,0.029166666666666688,0.3520833333333333,,
1126655786128760832,Fri May 10 01:10:46 +0000 2019,_JuniorEstrada,if global warming was true banks would not be lending money for year mortgages on beach front properties in florida we would be under water in ten years,"@SenSchumer @USChamber If global warming was true, banks wouldn’t be lending money for 30 year mortgages on beach front properties in Florida. We’d be under water in ten years.",7,1,18037,0.11666666666666665,0.21666666666666667,,"Fort Myers, FL"
1126655239245922304,Fri May 10 01:08:35 +0000 2019,ScrgMcD,i trust my twitter friends more than global warming scientists and that is not saying much,I trust my Twitter friends more than global warming scientists and that’s not saying much.,15,0,2467,0.2333333333333333,0.2333333333333333,,Duckberg
1126654969992699904,Fri May 10 01:07:31 +0000 2019,ATomalty,climate change is also threatening rivers as rising global temperatures affect water flow and quality this is one of the most stupid statements ever made about the whole global warming scam 08c increase in years is not going to affect the flow or water quality of a river,"""Climate change is also threatening rivers as rising global temperatures affect water flow and quality."" This is one of the most stupid statements ever made about the whole global warming scam. 0.8C increase in 120 years is NOT going to affect the flow or water quality of a river https://t.co/TFaVvDVsKs",9,3,484,-0.019999999999999983,0.38,,
1126654577607102465,Fri May 10 01:05:58 +0000 2019,wymitstaken,this have not a party they barely got a place to chill because of global warming,"This ain’t a party, they barely got a place to chill because of global warming https://t.co/Wco8CsyUM1",10,4,2043,0.025,0.05,,"Jigga City, Louisiana "
1126654431481692161,Fri May 10 01:05:23 +0000 2019,momagainstvapin,bro what the fuck is happening with this world fucking worry about global warming and the earth shit that actually matters not what women can and cant do with their bodies,"bro what the fuck is happening with this world. fucking worry about global warming and the earth. shit that actually matters, not what women can and cant do with their bodies https://t.co/OUigfQexsr",5,0,314,-0.24,0.4600000000000001,,
1126653427306696705,Fri May 10 01:01:23 +0000 2019,Freeyourmindkid,i watched some shitty show about psychics predicting the end of the world when i was and i have had a fear of global warming and my household appliances murdering me ever since,I watched some shitty show about psychics predicting the end of the world when I was 8 and I've had a fear of global warming and my household appliances murdering me ever since. https://t.co/VqppkYWRgR,43,3,71571,0.0,0.0,,Tsar-A-Lago
1126652808617267201,Fri May 10 00:58:56 +0000 2019,PasadenaUnified,pusd fifth graders tackle global warming for civic learning award,PUSD Fifth Graders Tackle Global Warming for Civic Learning Award https://t.co/cjgXoIMyeX,8,1,3063,0.0,0.0,,"Pasadena, California"
1126650162926051329,Fri May 10 00:48:25 +0000 2019,alyssaraetho,big titties by rico nasty is gon na end racism misogyny homophobia transphobia xenophobia global warming world hunger the conflict in the middle east,"big titties by rico nasty is gonna end racism, misogyny, homophobia, transphobia, xenophobia, global warming, world hunger, the conflict in the middle east,",13,2,1493,-0.25,0.275,,"Ann Arbor, MI"
1126649744510595074,Fri May 10 00:46:45 +0000 2019,jason_stallman,that is just like saying i do not have to worry about global warming because it is cold where i live,@emrazz That’s just like saying I don’t have to worry about global warming because it’s cold where I live.,73,0,58,-0.15454545454545454,0.5,,"Mount Pleasant, WI"
1126649743940001792,Fri May 10 00:46:45 +0000 2019,DamoPelham,it is also fact that the earth has warmed degree of one celsius since we hear a lot about that but how many realise the earth has cooled of one degree celsius since,@OMGTheMess It’s also fact that the earth has warmed 0.8 degree of one celsius since 1880. We hear a lot about that! But how many realise the earth has  cooled 0.56 of one degree celsius since 2016. https://t.co/5VBOgDv6zl,5,2,277,0.5,0.5,,"Lake Grace, Western Australia"
1126648819167395840,Fri May 10 00:43:05 +0000 2019,ICytikz,damn global warming really got my guy spongebob smh,@juannisaac @lonestfeeIs Damn global warming really got my guy spongebob.... smh,6,0,142,0.1,0.1,,G R I N D 🤑
1126648057116991488,Fri May 10 00:40:03 +0000 2019,SDelanster,today marks four years since graduating college taking today to reflect on the great decision i made to invest in my future work at a job i am wildly overqualified for not great borrow more money i have ever even seen in my life pending on global warming,"Today marks four years since graduating college! Taking today to reflect* on the great** decision I made to invest*** in my future****.

*work at a job I’m wildly overqualified for
**NOT great
***borrow more money I’ve ever even SEEN in my life
****pending on global warming",5,0,226,0.16666666666666666,0.42083333333333334,,"Chicago, IL"
1126646946427547649,Fri May 10 00:35:38 +0000 2019,LeonHWolf,so perhaps you could direct me to where you guys fact checked the claim that sean hannity said that the existence of ice cream disproves global warming as reported by the babylon bee 3/,"So perhaps you could direct me to where you guys fact checked the “claim” that Sean Hannity said that the existence of ice cream disproves global warming, as “reported” by the Babylon Bee? https://t.co/hcTMJaUbIG 3/",92,8,19475,0.05,0.2,,Nashville
1126646539873603590,Fri May 10 00:34:01 +0000 2019,CarbonBrief,limiting global warming to 15c would have significant economic benefits archive,Limiting global warming to 1.5C would have ‘significant economic benefits’ | @jloistf https://t.co/YZPiF6Tn0O #archive https://t.co/mbcl4nsCuL,13,7,52600,0.19166666666666665,0.35833333333333334,archive,UK
1126646212634058752,Fri May 10 00:32:43 +0000 2019,margearystarks,does anyone think global warming is a good thing i love lady gaga i think she has a really interesting artist,Does anyone think global warming is a good thing? I love Lady Gaga. I think she's a really interesting artist. https://t.co/fj0uA8qbfD,5,0,278,0.425,0.42500000000000004,,
1126646077342584832,Fri May 10 00:32:11 +0000 2019,wiwolfyone,there are now plenty of starving polar bears in the arctic due to global warming that might see pompeo as an opportunity for a 5course meal too,@Stop_Trump20 There are now plenty of starving polar bears in the Arctic due to global warming that might see Pompeo as an opportunity for a 5-course meal too.,6,0,1819,-0.06944444444444443,0.20833333333333334,,"Chicago, IL"
1126646043033198592,Fri May 10 00:32:03 +0000 2019,jmkaye10,if the fact that fattys patio has not been open since august is not a telltale sign that global warming is very much a real thing then idk what is,"If the fact that Fattys’ patio hasn’t been open since August isn’t a telltale sign that global warming is very much a real thing, then idk what is.",7,0,451,0.06666666666666667,0.26666666666666666,,
1126645556279947264,Fri May 10 00:30:07 +0000 2019,the_lost_hawk,tell me again how global warming is occurring with the greenland ice shelf growing,@AOC Tell me again how global warming is occurring with the Greenland ice shelf growing.,7,0,48,0.0,0.0,,
1126643794571513857,Fri May 10 00:23:07 +0000 2019,RamLover69,if you were taking this seriously you would propose with your socialist ways that everyone own or lease a dodge ram the most fuel efficient truck in america i drove mine for a year and nearly ended global warming in my community,"@AOC If you were taking this seriously you would propose with your socialist ways that everyone own or lease a Dodge Ram, the most fuel efficient truck in America. I drove mine for a year and nearly ended global warming in my community.",218,10,40609,0.1733333333333333,0.5133333333333333,,Your local Dodge dealer 
1126643764812849153,Fri May 10 00:23:00 +0000 2019,insideclimate,i just totally thought 'it must be climate change chris ray biologist,"""I just totally thought, 'it must be climate change.'"" —Chris Ray, biologist 

https://t.co/qAp5l41mPv",5,3,105993,0.0,0.75,,Everywhere
